"n","AbsoluteError","RelativeError"
1,3.20824053077195,1.79055313275624
2,9.29175946922805,5.18582969913435
3,32.3749071974386,18.0687797405009
4,123.875092802561,69.1360056581314
5,501.124907197439,279.683135936398
6,2103.04175946923,1173.72995404081
7,9057.67252624506,5055.18328871865
8,39770.4524737549,22196.312148354
9,177243.436415134,98921.4453497466
10,799319.063584866,446108.463391706
